Title,Authors,Text,Image,Videos,Link,Published_Date
"Thailand cave rescue: no attempt to get boys out tonight, says governor - live","['Kate Lyons', 'Kevin Rawlinson', 'Mattha Busby', 'Michael Safi']","Official says even if rains start overnight, the football team ‘cannot dive at this time’

",https://i.guim.co.uk/img/media/4ff77ca13372f9a4f58e3206efb8adc8dbe62cae/28_0_675_405/master/675.jpg?w=1200&h=630&q=55&auto=format&usm=12&fit=crop&crop=faces%2Centropy&bm=normal&ba=bottom%2Cleft&blend64=aHR0cHM6Ly9hc3NldHMuZ3VpbS5jby51ay9pbWFnZXMvb3ZlcmxheXMvZmQ2MTg4YTJlMWFhNThmNWM5Y2VkODlkNjQxOWU1OTgvdGctbGl2ZS5wbmc=&s=7e1c2a682e7a71b73e453c286900da00,[],https://www.theguardian.com/world/live/2018/jul/06/thailand-cave-rescue-looming-rain-clouds-could-force-quick-rescue-decision-live,2018-07-06T18:41:14
Michel Barnier: EU willing to compromise if UK softens red lines,"[""Lisa O'Carroll""]","The EU is prepared to change its Brexit position if Theresa May softens her negotiating red lines, Michel Barnier has said.

The offer from the EU’s chief Brexit negotiator could be seen as a strategic olive branch coming just as the prime minister tries to strike a deal between the warring sides of her cabinet at Chequers.

“I am ready to adapt our offer should the UK red lines change,” Barnier said in a speech to the Institute of International and European Affairs in Brussels. “Our objective has always been to find an agreement with the UK, not against.”

He called on all sides to stop arguing over the Irish border, imploring everyone to “de-dramatise” the issue.

However, he said the EU would not shift its own red line on the single market, which he said was “not and never should be seen as a big supermarket; it is economic, cultural and social life, it should be developed in all its dimensions”.

He added: “The single market is our main economic public good. We will not damage it. We will not unravel what we achieved with the UK. We must find solutions that respect the integrity of the single market.”

This may douse any hopes that the prime minister could emerge from Chequers on Friday night with a package that simultaneously unites the cabinet and is acceptable to the EU, which has always said access to the single market is conditional on the UK accepting freedom of movement of people.

Hardline Brexiters were horrified to learn that May was preparing to soften her red lines by asking for access to the single market for goods, but not services, and will see Barnier’s comments as confirmation that the EU will not countenance a special compromise for Britain on immigration.

However, the conciliatory tone of Barnier’s speech was striking and may help move negotiations to the next phase. On Northern Ireland, he repackaged the need for a backstop solution, spelling out the need for regulatory alignment for livestock and agri-food. He said this was necessary for food safety and animal health across the border and would allow farming to continue as it does.

“We must all de-dramatise this backstop, we need to clarify how and where these controls are done, but ultimately [they are] only technical control on goods, no more, no less,” Barnier said.

“Our own backstop solution would mean the limited set of EU rules would continue to apply in Ireland as it does today, which means there would be no need for checks at the border.”

He again warned that the clock was ticking and the EU needed to see “realistic and workable solutions” from the UK.

For the first time he conceded there was still work to be done on protecting the rights of British citizens living in the rest of Europe and non-British EU citizens in the UK.

“There are four or five million citizens for whom Brexit is a constant source of worry [about] whether they can continue living their lives with the same rights for the rest of their lives. This is not the end of the road and we need to remain vigilant,” he said.",https://i.guim.co.uk/img/media/0286be8902d0a2ac7e8fd92fb57f81f1b9b49f6e/0_87_4800_2880/master/4800.jpg?w=1200&h=630&q=55&auto=format&usm=12&fit=crop&crop=faces%2Centropy&bm=normal&ba=bottom%2Cleft&blend64=aHR0cHM6Ly9hc3NldHMuZ3VpbS5jby51ay9pbWFnZXMvb3ZlcmxheXMvZDM1ODZhNWVmNTc4MTc1NmQyMWEzYjYzNWU1MTcxNDEvdGctZGVmYXVsdC5wbmc=&s=aaa713c97f7133750991347c7bfb0576,[],https://www.theguardian.com/politics/2018/jul/06/michel-barnier-eu-willing-to-compromise-if-uk-softens-brexit-red-lines,2018-07-06T14:13:37
World Cup 2018 quarter-final: Brazil v Belgium – live!,['Scott Murray'],What term do you want to search? Search with google,https://i.guim.co.uk/img/media/536a46149f094e45f1d7b901dd108af942c14116/0_208_7956_4773/master/7956.jpg?w=1200&h=630&q=55&auto=format&usm=12&fit=crop&crop=faces%2Centropy&bm=normal&ba=bottom%2Cleft&blend64=aHR0cHM6Ly9hc3NldHMuZ3VpbS5jby51ay9pbWFnZXMvb3ZlcmxheXMvZmQ2MTg4YTJlMWFhNThmNWM5Y2VkODlkNjQxOWU1OTgvdGctbGl2ZS5wbmc=&s=f6726ba951d71da48d61ddd5fa00fa8a,[],https://www.theguardian.com/football/live/2018/jul/06/world-cup-2018-quarter-final-brazil-v-belgium-live,2018-07-06T18:40:44
Sinkhole traps truck as UK heatwave takes toll on roads,['Matthew Weaver'],"The UK is forecast to bask in hot weather for a third weekend in a row, with temperatures of more than 30C widely predicted, but for some the heatwave is proving too much.

Excessive heat has forced the cancellation of a series of events including pet shows in Halifax and Cheltenham and a lantern festival in Derbyshire. The hot spell has also opened up a number of sinkholes in roads.

A council refuse truck had to be towed out of Old Bath Road in Newbury, Berkshire, after getting submerged in a sinkhole. Veolia, which owns the truck, said none of its crew were hurt in the incident.

In Heaton in Newcastle fire crews were called after a man got his foot stuck in a sinkhole when the the tarmac melted. Tyne and Wear fire and rescue service said the 24-year-old man, who has not been named, had to be freed with a hammer and chisel.

It said the man had been “on his way to buy breakfast when he stepped on some tarmac, lost his footing and went straight through the road … Thankfully he didn’t break his ankle as he was wearing his grandad’s Dr Martens.”

Several local authorities including Hampshire, Cumbria, Kirklees, Cornwall and Lancashire deployed gritters to dust sand on roads as a form of sunscreen for the tarmac.



Jack Cousens, the head of roads policy for the AA, said: “Sinkholes are often associated with persistent rainfall, but this long period of strong sun baking the road network could lead to some sinkholes appearing. As the temperature rises, the soil underneath the road surface can shrink back causing cracks in the tarmac and the possibility of creating sinkholes.

“With at least two instances of sinkholes appearing at opposite ends of the country, road inspectors must keep an eye on their network and ensure they do all they can to prevent any further sinkholes developing.”

A lanterns festival planned for this month in Buxton, Derbyshire, has been cancelled because of the potential fire risk. Lights Fest was to involve thousands of paper lanterns being released into the night sky at Buxton Raceway on 28 July.

The police and fire service urged the organisers to cancel the event in part because of the exceptionally dry conditions of the surrounding countryside.

Sgt Darren Belfield of Derbyshire police said: “The countryside could have become littered with the remnants of these lanterns. But they also pose a real risk to wildlife and property, and could start fires in a countryside that is already extremely dry due to the hot weather. The devastation caused with the recent moorland fires shows just how serious fires in the open can be and how quickly they can spread.”

Sunny weather is forecast to continue into the weekend and beyond with temperatures of up to 32C in the south and 26C in the north. Slightly fresher weather is forecast by the middle of next week.",https://i.guim.co.uk/img/media/f2ff8c7e83eb3ba50ec37885bf2fc54da6e5b6cf/0_0_3289_1974/master/3289.jpg?w=1200&h=630&q=55&auto=format&usm=12&fit=crop&crop=faces%2Centropy&bm=normal&ba=bottom%2Cleft&blend64=aHR0cHM6Ly9hc3NldHMuZ3VpbS5jby51ay9pbWFnZXMvb3ZlcmxheXMvZDM1ODZhNWVmNTc4MTc1NmQyMWEzYjYzNWU1MTcxNDEvdGctZGVmYXVsdC5wbmc=&s=72e43551c5fa62bb78cb4a98d37011d0,[],https://www.theguardian.com/uk-news/2018/jul/06/sinkhole-traps-truck-as-uk-heatwave-takes-toll-on-roads,2018-07-06T16:45:20
Donald Trump to almost entirely avoid London during UK visit,"['Peter Walker', 'Shaista Aziz', 'Asad Rehman', 'Gary Younge']","Meetings with Theresa May and the Queen to be held away from protests in capital

Donald Trump will almost entirely avoid London during his four-day visit to the UK next week, Downing Street has said, unveiling an itinerary that is likely to prompt accusations he is trying to avoid planned protests against him.

While the US president is conducting his meetings, the first lady, Melania Trump, will have an agenda of her own, in the company of her opposite number, Philip May.

Trump, who is to meet Theresa May and the Queen among others before spending two days in Scotland, will only spend the night in London on Thursday, the day of his arrival, staying at the US ambassador’s official residence in Regent’s Park, Winfield House.

Before that he will attend a gala dinner at Blenheim Palace in Oxfordshire, and the following day he will hold talks with the prime minister at her Chequers country retreat in Buckinghamshire. Both are places where protesters can be kept out of sight and earshot.

Later on the Friday he will meet the Queen at Windsor Castle before heading to Scotland for the weekend.

Details about what Trump will do in Scotland will be released next week, but No 10 has described the leg as “a private element of the official visit”. There is widespread speculation he will spend part of it playing golf.

The US ambassador to the UK, Woody Johnson, rejected the suggestion Trump was trying to keep away from any dissent.

“No, the president is not avoiding anything,” he told a press briefing. “The president is merely trying to get as impactful a trip as he can get in a 24-hour period.” Trump will be using London as a base during his visit, Johnson said.

Activists have promised to stage protests against Trump throughout his visit, with an event planned in London next Friday expected to be the biggest.

While he is in the capital, a giant “Trump baby” balloon, caricaturing him as a nappy-wearing infant, will be flown in the sky over Westminster after the Greater London Authority (GLA) granted the creators permission.

Asked whether Trump had heard of the baby balloon, Johnson said: “Yes, I think we’re all aware of these things.” While the president was focused on his objectives, he “appreciates free speech, both in this country and in our country”, Johnson added.

Play Video 1:38 'Fragile, like the president's ego': Trump Baby blimp prepares for takeoff

May’s spokeswoman, who confirmed Trump would fly into the UK for the working visit direct from a Nato summit in Brussels, also denied that the president was avoiding Downing Street to stay away from protests.

“Prime ministers frequently make use of Chequers for meetings with foreign leaders,” she said. “It offers a more informal setting for important bilateral discussions. We’re looking forward to making sure the president has a chance to see and experience the UK beyond London and the south-east.

“We are a free and open democracy, and we believe in the right to peaceful protest. But I would also say that I think the majority of British people understand the importance of the UK-US alliance.”

Regarding the “Trump baby” balloon, the spokeswoman said it was up to the GLA to explain why they had approved it. “From our perspective, the presidential visit is an important moment to recognise our close and special relationship and to have open and frank discussions on the key issues,” she said.

Melania Trump will accompany her husband for some events, for example at Blenheim Palace and to meet the Queen, but she will also have a separate itinerary, hosted by May’s husband.

May invited Trump for a formal state visit after she met him in Washington shortly after his inauguration. However, such a visit, which is different to this working visit, has been delayed indefinitely, reportedly because the president did not want to be met by protests.

The black-tie dinner at Blenheim Palace, the country estate where Winston Churchill was born, will nonetheless see considerable ceremony, including the bands of Scots, Irish and Welsh Guards welcoming Trump, and an orchestra serenading diners with “classic British and American hits”.

About 100 guests will include some ministers and business leaders from sectors including financial services, travel, food and drink, and engineering.

On the Friday morning, Trump and May will visit an as-yet unnamed defence site connected to joint UK-US military training.

This will be followed by the main talks with May at Chequers and a working lunch. Afterwards – in what could be the most politically tricky part of the visit for Trump – the pair will hold a joint press conference.

Asked whether May was looking forward to hosting the US president, her spokeswoman replied: “Yes.”",https://i.guim.co.uk/img/media/4e677559b5dc209bb9ecacbc175b5f18139e6564/112_0_3204_1923/master/3204.jpg?w=1200&h=630&q=55&auto=format&usm=12&fit=crop&crop=faces%2Centropy&bm=normal&ba=bottom%2Cleft&blend64=aHR0cHM6Ly9hc3NldHMuZ3VpbS5jby51ay9pbWFnZXMvb3ZlcmxheXMvZDM1ODZhNWVmNTc4MTc1NmQyMWEzYjYzNWU1MTcxNDEvdGctZGVmYXVsdC5wbmc=&s=35838d912558096abe40e621c73c43ed,[],https://www.theguardian.com/us-news/2018/jul/06/donald-trump-to-avoid-london-during-uk-visit,2018-07-06T16:00:04
Second man arrested over Lancashire moorland fire,['Frances Perraudin'],"A second man has been arrested on suspicion of arson, as a moorland fire in Lancashire burns into its second week.

Police arrested the 20-year-old man from Wigan on Friday morning on suspicion of causing a fire with intent to endanger life. It comes a week after a 22-year-old man from Bolton was arrested in connection with the fire. He was later released pending further inquiries.

Firefighters are continuing to tackle the blaze that started more than a week ago on Winter Hill, north-west of Bolton. On Thursday the fire service set up a 3 sq mile exclusion zone around the moorland blaze, banning walkers from the area.

The fire service, which released an image of the area stretching from Rivington village to Horrocks Moor, said: “[The map] shows the areas we need people to stay clear of; not only for public safety but to help us maintain the progress we’ve made so we can give you back full access ASAP.”

Last week about 100 soldiers and an RAF Chinook helicopter were drafted in to help with another, larger moorland fire, which continues to burn 30 miles away near Saddleworth Moor. The fire is now said to be under control and soldiers assisting the fire service were stood down on Friday.

Police confirmed on Wednesday that they were also treating the fire near Saddleworth Moor as arson, reporting that witnesses had seen people lighting a bonfire on land near to Buckton Vale, north of Stalybridge, at around 7.30pm on Sunday 24 June. Firefighters were able to extinguish the fire near Buckton Vale, but it reignited the following Tuesday because of the high temperatures.

Beverley Hughes, the deputy mayor of Greater Manchester, said on Friday that fire crews were making good progress and that the operation would be scaled down. Speaking following a visit to Winter Hill, the region’s mayor, Andy Burnham, said some crews would also be able to leave that area.

“I wanted to come here again today to say a huge thank you to all the crews fighting this fire including crews from Greater Manchester, Lancashire and many other fire and rescue services. They are working incredibly hard and the public are so grateful for their efforts,” said Burnham.

Maj Phil Morgan, from the Royal Regiment of Scotland, said: “It’s been a real privilege to be involved in this firefighting effort. Not only has the task been completed but we have strengthened the bonds that already exist between the army and our civilian partners.”",https://i.guim.co.uk/img/media/cdb835c114daf36ddfc14d90b4a9321feaef2964/0_285_4278_2567/master/4278.jpg?w=1200&h=630&q=55&auto=format&usm=12&fit=crop&crop=faces%2Centropy&bm=normal&ba=bottom%2Cleft&blend64=aHR0cHM6Ly9hc3NldHMuZ3VpbS5jby51ay9pbWFnZXMvb3ZlcmxheXMvZDM1ODZhNWVmNTc4MTc1NmQyMWEzYjYzNWU1MTcxNDEvdGctZGVmYXVsdC5wbmc=&s=0ce29178d978356c0071e41d843efb64,[],https://www.theguardian.com/uk-news/2018/jul/06/second-man-arrested-over-lancashire-moorland-fire,2018-07-06T16:09:42
Teenager in court charged with rape and murder of six-year-old girl on Bute,[],"Sixteen-year-old boy enters no plea to charges related to death of Alesha MacPhail

Teenager in court charged with rape and murder of six-year-old girl on Bute

A teenager has appeared in court charged with the rape and murder of six-year-old Alesha MacPhail.

The 16-year-old boy, who cannot be named for legal reasons, entered no plea and was remanded in custody following his brief appearance at Greenock sheriff court.

The schoolgirl, originally from Airdrie in North Lanarkshire, was reported missing from her grandparents’ home near Rothesay on the Isle of Bute at around 6.30am on Monday. Her body was found in woodland a little over two hours later.

The teenager, who made the appearance in private, is expected to return to court next week.",https://i.guim.co.uk/img/media/ef2cde66eaa493c78ae3475d87569c65c71fc241/0_197_4821_2893/master/4821.jpg?w=1200&h=630&q=55&auto=format&usm=12&fit=crop&crop=faces%2Centropy&bm=normal&ba=bottom%2Cleft&blend64=aHR0cHM6Ly9hc3NldHMuZ3VpbS5jby51ay9pbWFnZXMvb3ZlcmxheXMvZDM1ODZhNWVmNTc4MTc1NmQyMWEzYjYzNWU1MTcxNDEvdGctZGVmYXVsdC5wbmc=&s=bf884183d244711254a5c82a35d41224,[],https://www.theguardian.com/uk-news/2018/jul/06/teenager-in-court-charged-with-and-of-girl-on-bute-alesha-macphail,2018-07-06T16:06:48
Top oncologist to study effect of diet on cancer drugs,['Hannah Devlin'],"A groundbreaking clinical trial on whether diet could boost the effectiveness of cancer drugs is set to be launched by one of the world’s leading oncologists.

The work, led by Siddhartha Mukherjee at Columbia University Medical Center in New York, will investigate whether a high-fat, low-carbohydrate diet could improve outcomes for patients with lymphoma and endometrial cancer.

The trial, which is initially recruiting 40 patients, is the first in a series of similar interventions being planned at other centres in the US and Europe by members of a new international working group focused on “rethinking human diets for cancer”, said Mukherjee, who is best known for writing the Pulitzer prize-winning book The Emperor of All Maladies: A Biography of Cancer.

“Physiologically we’re discovering that not every calorie is equal,” he said. “You could have two different diets, equal in terms of energy, but with two very different effects on the cancer.”

The first cohort, who will begin treatment in October, are lymphoma patients with cancers that have not responded to treatment. They will be followed by endometrial cancer patients, and the team is awaiting approval to treat women with drug-resistant breast cancer.

The patients will be treated with a licensed drug, Aliqopa, that has previously been shown to have limited effects in such patients. However, recent animal studies, including a paper this week in Nature from Mukherjee’s lab, suggest its effectiveness could be significantly boosted when combined with diet changes aimed at lowering insulin levels.

To achieve this, patients will be put on a so-called ketogenic diet (high in fat, low in carbohydrate, normal protein). “If you combine them with a diet which [keeps insulin low], all of a sudden these drugs become effective,” said Mukherjee, referring to the Nature study. “The diet really works like a drug.”

The team arrived at the idea after being involved in trials of drugs that, like Bayer’s Aliqopa, were designed to target one of the most common cancer mutations, called PI3K, that is present in up to 40% of breast cancers.

Despite major pharmaceutical industry investment a decade ago, none of the drugs aimed at PI3K have a major impact on survival rates. “There was an enormous amount of hype around these drugs, huge investments of the order of billions of dollars,” said Mukherjee.

Mukherjee and colleagues noticed that a high proportion of patients on one of the original trials had become diabetic, and after initially dismissing this as a drug side-effect, they began to investigate. They discovered the drug was interfering with one of the body’s main metabolic circuits, causing a spike in insulin production, which had the effect of reactivating the mutated genetic pathway that was helping cancer cells proliferate and spread.

“It may be the central reason we don’t get effectiveness,” said Mukherjee.

The trial will be among the first to investigate whether diet can be used to boost the effectiveness of drugs, but others are expected to follow in the next few years.

“There’s been so much over many, many years in terms of diet and what you should and shouldn’t eat to help in terms of cancer therapy,” said Prof Karen Vousden, Cancer Research UK’s chief scientist, based at the Francis Crick Institute in London and a member of the international working group. “There’s a lot of black magic and old wives’ tales. None of it is really based on any evidence.”

In some cases, Vousden added, what might intuitively seem correct – giving patients on chemotherapy a sugary drink, say – might not be the optimal way to boost calorie intake. “We want to champion the idea that you give dietary advice based on hard evidence,” she said.

Vousden’s work has shown that cancer cells are disproportionately dependent on dietary sources of an amino acid called serine. Healthy cells can produce their own serine, but cancer cells are less capable of doing this, and animal studies have shown that cutting dietary intake of the substance makes cancer more vulnerable to drugs.

Serine is present in most dietary protein, so if clinical evidence supported such an intervention in the future, this might mean patients being placed on an extremely low-protein diet, supplemented with a serine-free protein shake.

Siddhartha Mukherjee: 'A positive attitude does not cure cancer, any more than a negative one causes it' Read more

Both Vousden and Mukherjee say they would discourage patients from putting themselves on diets after reading about the latest findings. There is no evidence that the ketogenic diet, for instance, would be helpful on its own – in fact, for leukaemia it appeared to accelerate the disease’s progress.

“We are not suggesting that people go out there and self-medicate with these diets,” said Vousden. “We’re looking at it more from the way we’d look at any other drug.”

Prof Greg Hannon, director of the Cancer Research UK Cambridge Institute, recently discovered that a compound found in asparagus called asparagine appears to drive the spread of cancer. The study, in mice, showed that animals with breast cancer had a dramatically reduced rate of secondary tumours when asparagine was either blocked using a drug or cut from the diet.

“The holy grail is finding something that cancer cells are uniquely dependent on,” said Hannon. “By depriving them of that resource it makes them more vulnerable to things that we already use to treat patients.”

There is no suggestion that cancers have been caused by a diet in the first place. “We’re looking to attack peculiarities in cancer cells, but an imbalanced diet would not have caused those peculiarities to be there in the first place,” said Hannon.",https://i.guim.co.uk/img/media/2924b8fd529902e843ddd094880f56ac2dd7f335/0_204_5976_3584/master/5976.jpg?w=1200&h=630&q=55&auto=format&usm=12&fit=crop&crop=faces%2Centropy&bm=normal&ba=bottom%2Cleft&blend64=aHR0cHM6Ly9hc3NldHMuZ3VpbS5jby51ay9pbWFnZXMvb3ZlcmxheXMvZDM1ODZhNWVmNTc4MTc1NmQyMWEzYjYzNWU1MTcxNDEvdGctZGVmYXVsdC5wbmc=&s=040d32126b9d1031cbcbcd08a7a2c891,[],https://www.theguardian.com/science/2018/jul/06/top-oncologist-to-study-effect-of-diet-on-cancer-drugs,2018-07-06T18:00:06
Chris Brown arrested after Florida show,['Ben Beaumont-Thomas'],"The R&B star Chris Brown has been arrested in Florida on a charge of felony battery.

On Thursday the singer and rapper performed a concert on his Heartbreak on a Full Moon tour in West Palm Beach, Florida, and was arrested shortly afterwards. He was taken to the nearby Palm Beach county jail, and was released on bail of $2,000 (£1,500). It is not yet clear who has accused him, and no more details are yet available about the incident.

Facebook Twitter Pinterest Chris Brown following his arrest in Palm Beach County. Photograph: AP

Alongside a career that has included seven US top-five albums, and hits such as Run It, No Air and Loyal, Brown has been apprehended numerous times by police. Most famously, in 2009 he attacked his then girlfriend Rihanna, leaving her bruised and bleeding. “I really hit her, with a closed fist, I punched her ... that’s going to haunt me forever,” he said in a recent documentary.

In October 2013, he was arrested on an assault charge after being accused of punching a man who tried to have his photo taken with Brown, later pleading guilty to the incident. The violation of his probation following the attack on Rihanna meant that he was sentenced to 131 days in jail, though was released early.

Another girlfriend, Karrueche Tran, won a five-year restraining order against Brown in 2017, alleging that he had threatened her with violence. In January 2016, a woman accused him of punching her in a Las Vegas nightclub, though Brown denied it and charges were dropped due to lack of evidence. In August 2016, an unidentified woman reported Brown to the Los Angeles police, saying he had threatened her with a gun at his house – he was released on $250,000 bail and has never faced trial over the incident.

In May 2018, he was sued by a woman who claimed she was raped at his home by one of his friends, Lowell Grissom Jr – the lawsuit is ongoing, though Brown’s lawyer has stated: “My investigation shows that none of these allegations are true.”",https://i.guim.co.uk/img/media/70c63488779d414a365a1c133fc0cd8b51908c77/0_0_3500_2100/master/3500.jpg?w=1200&h=630&q=55&auto=format&usm=12&fit=crop&crop=faces%2Centropy&bm=normal&ba=bottom%2Cleft&blend64=aHR0cHM6Ly9hc3NldHMuZ3VpbS5jby51ay9pbWFnZXMvb3ZlcmxheXMvZDM1ODZhNWVmNTc4MTc1NmQyMWEzYjYzNWU1MTcxNDEvdGctZGVmYXVsdC5wbmc=&s=bedf36cb1a01384bb6aa3f28623d43f9,[],https://www.theguardian.com/music/2018/jul/06/chris-brown-arrested-florida-felony-battery,2018-07-06T17:02:03
JK Rowling attacked for saying Scottish nationalism 'contains traces of bigotry',['Alison Flood'],"Harry Potter author provokes an internet storm after tweeting that she was tired of ‘blood and soil nationalists marching with’ civic campaigners

JK Rowling has provoked the anger of Scottish nationalists by saying she is “mighty tired” of their “insistence that their nationalism is nothing like the other, nasty kinds, in the face of considerable evidence to the contrary”.

Rowling, who lives in Scotland, was responding to a column in the National by Lesley Riddoch that said: “Setting the English up as our automatic enemy doesn’t help us walk away from the Union mindset or its relentless pecking order. And yet like a packet of Crunchy Nut Cornflakes scoffed with cold milk late at night – it’s almost irresistible.”

Rowling described Riddoch’s quote as “Crunchy Nut nationalism”, tweeting: “Warning: may contain traces of bigotry.”

The Harry Potter author was asked by a Twitter user what made her think that Scottish nationalists are “xenophobic, racist or anti-English”, to which she posted a series of screenshots in response, including one from a user supporting the ethno-nationalist group Siol nan Gaidheal.

“When blood and soil ethno-nationalists are marching with your supposedly ‘civic’ marches, your nationalism doesn’t look too different to any other country,” wrote Rowling, who previously campaigned for Scotland to remain part of the UK and donated £1m to the Better Together campaign.

“Happy to take your word for it that such people aren’t representative of the entire movement. Happy to accept that the bulging folder of xenophobic and anglophobic screenshots I have on my laptop aren’t the whole story. But some of us are getting mighty tired of Scottish nationalist insistence that their nationalism is nothing like the other, nasty kinds.”

J.K. Rowling (@jk_rowling) Nor does this kind of talk, from a self-proclaimed Scottish nationalist, quite square with the proud boast that 'our' nationalism is purer and better. pic.twitter.com/1APkzm3SlV

Along with a wave of criticism from Scottish nationalists on Twitter, the pro-nationalist paper the National also hit out at her comments, saying that Riddoch’s column actually “broadly agrees” with Rowling’s stance.

“We condemn all the views in those tweets, but the idea that such a tiny sample size is representative of the Yes movement is staggeringly wrong – particularly in the face of so many representing the opposite view,” the paper argued.

Citing Rowling’s criticism of Donald Trump’s politics, the editorial added: “How many ‘Scottish nationalists’ do you see on Twitter supporting Trump, relative to the number of Unionists who do? Which side’s politicians are loudest in condemning him? Scottish nationalism is nothing like that of Donald Trump.”",https://i.guim.co.uk/img/media/cd96ad935450345744ff7cef49e09dc0c7336b59/0_337_3164_1899/master/3164.jpg?w=1200&h=630&q=55&auto=format&usm=12&fit=crop&crop=faces%2Centropy&bm=normal&ba=bottom%2Cleft&blend64=aHR0cHM6Ly9hc3NldHMuZ3VpbS5jby51ay9pbWFnZXMvb3ZlcmxheXMvZDM1ODZhNWVmNTc4MTc1NmQyMWEzYjYzNWU1MTcxNDEvdGctZGVmYXVsdC5wbmc=&s=bb723a3d2bbfb9e274f17fc97e3e6e90,[],https://www.theguardian.com/books/2018/jul/06/jk-rowling-attacked-for-saying-scottish-nationalism-contains-traces-of-bigotry,2018-07-06T14:16:40
